poolAddress,pair,platform
0xca3d6a94759cb675f0ac10a76fc0da6ee6bf6e7b,Link-eth,sakuswap
0xac10f17627cd6bc22719ceebf1fc524c9cfdc255,Sake-eth,sakuswap
0xb8172076ceb35b6701f96eb9088818efc010bd44,Sake-eth,uniswap
0xc134922a5d9117dbb97904b61fcbe04b803b5c50,Comp-eth,sakuswap
0x3c51608d44fcbfff701beb590f0ad65bbebf845b,Wbtc-eth,sakuswap
0xa425833329fa3a1f722230eb0999160b917e4ce9,Sushi-eth,sakuswap
0x84f0fe1b2efde597ee0f5fe50a47582c135381a6,Lina-eth,sakuswap
0x8285a54aeb4cf7fcbc24ac77004cb2f2bf0e8685,Dego-eth,sakuswap
0x23f7d99c169dee26b215edf806da8fa0706c4ecc,Dego-eth,uniswap
0x63b44fb08e0e044468952056239f5fad25ed66cb,Kp3r-eth,sakuswap
0x4b618087dae7765823bc47ffbf38c8ee8489f5ca,Sashimi-eth,uniswap
0x3fa4b0b3053413684d0b658689ede7907bb4d69d,Sashimi-eth,sashimiswap
0xe24b430952bdb793b0e6753d14c4fec9b8a41813,Uni-eth,sashimiswap
0x490ccb3c835597ff31e525262235487f9426312b,Usdt-eth,sashimiswap
0x04d7eecd7decfc5cc335e4ba5fb6bb09a581be01,Wbtc-eth,sashimiswap
0x64a9d29305b9847ceee21558d3ce1f8e85ee4496,Usdc-eth,sashimiswap
0x28e240e04113877bf99354e1e4f43a79e59c535a,Elf-eth,sashimiswap
0x51214310ac356b26df2a9caf3895398e533c4fa9,Dai-eth,sashimiswap
0xde1621bc3e8be5927e8a8be068cea62f74f876ce,Link-eth,sashimiswap
0x8767cc91765cb624777005cffebde6b2cf6481fb,Comp-eth,sashimiswap
0x18492965eef77d1a101d77a394c32178090e98a6,Yfi-eth,sashimiswap
0x419539e88081db92e34f26bc7308b9d85dd297e7,Omg-eth,sashimiswap
0x38a0469520534fc70c9c0b9de4b8649e36a2ae3e,Lina-eth,sushiswap
0xa6be7f7c6c454b364cda446ea39be9e5e4369de8,Elf-eth,uniswap
0x7b890092f81b337ed68fba266afc7b4c3710a55b,Nftx-eth,uniswap
0x31d64f9403e82243e71c2af9d8f56c7dbe10c178,Nftx-eth,sushiswap
0x7ca51456b20697a0e5be65e5aeb65dfe90f21150,Arnxm-eth,uniswap
0x43632e3448cd47440fee797258081414d91a58ce,Arnxm-eth,sushiswap
0x0eee7f7319013df1f24f5eaf83004fcf9cf49245,Bao-eth,sushiswap
0x9973bb0fe5f8df5de730776df09e946c74254fb3,Bao-eth,uniswap
0xdc2b82bc1106c9c5286e59344896fb0ceb932f53,Rgt-eth,uniswap
0x18a797c7c70c1bf22fdee1c09062aba709cacf04,Rgt-eth,sushiswap
0x454f11d58e27858926d7a4ece8bfea2c33e97b13,Ldo-eth,uniswap
0xc558f600b34a5f69dd2f0d06cb8a88d829b7420a,Ldo-eth,sushiswap
0xd3f85d18206829f917929bbbf738c1e0ce9af7fc,Crd-eth,sushiswap
0x526914ce1611849b9e1133ff8f8b03a8faa295cb,Crd-eth,uniswap
0x17a2194d55f52fd0c711e0e42b41975494bb109b,Armor-eth,sushiswap
0x648450d9c30b73e2229303026107a1f7eb639f6c,Armor-eth,uniswap
0xa8aec03d5cf2824fd984ee249493d6d4d6740e61,api3-eth,sushiswap
0x4dd26482738be6c06c31467a19dcda9ad781e8c4,api3-eth,uniswap
0x1ffc57cada109985ad896a69fbcebd565db4290e,Ftm-eth,uniswap
0x0e26a21013f2f8c0362cfae608b4e69a249d5efc,Ftm-eth,sushiswap
0xb4d0d9df2738abe81b87b66c80851292492d1404,Tusd-eth,uniswap
0x760166fa4f227da29ecac3bec348f5fa853a1f3c,Tusd-eth,sushiswap
0x3b3d4eefdc603b232907a7f3d0ed1eea5c62b5f7,Stake-eth,uniswap
0x9fc5b87b74b9bd239879491056752eb90188106d,Stake-eth,sushiswap
0xecba967d84fcf0405f6b32bc45f4d36bfdbb2e81,Fxs-eth,uniswap
0x61eb53ee427ab4e007d78a9134aacb3101a2dc23,Fxs-eth,sushiswap
0xb1d38026062ac10feda072ca0e9b7e35f1f5795a,Dusd-eth,sushiswap
0x8ccd68af5e35fe01c56ad40cd2ed27cbd7767fb1,Dusd-eth,uniswap
0x29ba3d899e8a819cf920adaff53ef1cf31969e66,Aleph-eth,uniswap
0x7b98e476de2c50b6fa284dbd410dd516f9a72b30,Aleph-eth,sushiswap
0x12d4444f96c644385d8ab355f6ddf801315b6254,Cvp-eth,uniswap
0x1c580cc549d03171b13b55074dc1658f60641c73,Cvp-eth,sushiswap
0xb062fcbb48154fd385f104b38a2f9f3ffd82ffe0,Dnt-eth,uniswap
0xa1f967f25ae32bd3435e45ea8657de16ce5a4ae6,Dnt-eth,sushiswap
